start,end
1.088,1.632
1.664,2.144
1.664,2.144
1.664,2.144
1.664,2.144
2.176,2.752
2.784,3.232
2.784,3.232
2.784,3.232
2.784,3.232
3.264,3.84
3.872,4.352
3.872,4.352
3.872,4.352
4.384,4.64
4.672,4.896
4.928,5.376
5.408,5.888
5.408,5.888
5.408,5.888
5.92,6.4
5.92,6.4
5.92,6.4
6.432,6.912
6.432,6.912
6.432,6.912
6.944,7.392
6.944,7.904
7.424,7.904
7.936,8.16
7.936,8.416
7.936,8.416
8.192,8.416
8.448,8.672
8.704,8.928
8.96,9.408
9.44,9.664
9.696,9.92
9.952,10.432
10.464,10.944
10.464,10.944
10.976,11.424
10.976,11.424
11.456,11.936
11.968,12.448
11.968,12.448
11.968,12.448
12.48,12.704
12.736,12.96
12.992,13.44
13.472,13.696
13.728,13.952
13.984,14.464
14.496,14.912
14.496,14.912
14.944,15.392
14.944,15.392
15.424,15.904
15.936,16.288
15.936,16.288
15.936,16.288
16.32,16.544
16.576,16.8
16.832,17.28
17.312,17.504
17.536,17.76
17.792,18.24
18.272,18.4
18.432,18.624
18.656,19.072
19.104,19.296
19.328,19.552
19.584,20.064
19.584,20.064
20.096,20.288
20.32,20.448
20.448,20.672
20.704,20.8
20.832,21.056
21.088,21.28
21.312,21.792
21.824,22.208
21.824,22.208
22.24,22.72
22.24,22.72
22.752,23.232
22.752,23.232
23.264,23.488
23.264,23.744
23.264,23.744
23.52,23.744
23.776,24.224
24.256,24.736
24.768,25.248
24.768,25.248
25.28,25.504
25.28,25.76
25.28,25.76
25.536,25.76
25.792,26.24
26.272,26.752
26.784,27.264
26.784,27.264
26.784,27.264
27.296,27.776
27.296,27.776
27.296,27.776
27.808,28.256
27.808,28.256
28.288,28.512
28.288,28.768
28.544,28.768
28.8,29.28
28.8,29.28
29.312,29.792
29.312,29.792
29.824,30.176
30.208,30.432
30.464,31.04
31.072,31.296
31.328,31.552
31.584,32.064
31.584,32.064
32.096,32.288
32.32,32.544
32.576,33.056
32.576,33.056
33.088,33.312
33.344,33.568
33.6,34.08
33.6,34.08
34.112,34.56
34.592,35.84
35.872,36.064
36.096,36.32
36.352,36.48
36.512,36.736
36.768,36.928
36.96,37.152
37.184,37.312
37.344,37.568
37.6,37.792
37.824,38.048
38.08,38.304
38.336,38.816
38.336,38.816
38.848,39.328
38.848,39.328
38.848,39.328
39.36,40.832
39.36,40.832
39.36,40.832
40.864,41.472
40.864,41.472
40.864,41.472
41.504,41.952
41.504,41.952
41.504,41.952
41.984,42.624
41.984,42.624
42.656,43.136
42.656,43.136
42.656,43.136
43.168,43.648
43.168,43.648
43.68,44.128
43.68,44.128
43.68,44.128
44.16,44.384
44.416,44.64
44.672,45.184
45.216,45.696
45.216,45.696
45.216,45.696
45.216,45.696
45.728,46.272
45.728,46.272
45.728,46.272
46.304,46.816
46.304,46.816
46.848,47.328
46.848,47.328
46.848,47.328
47.36,47.84
47.36,47.84
47.872,48.32
47.872,48.32
47.872,48.32
48.352,48.576
48.352,48.576
48.608,48.832
48.608,48.832
48.864,49.344
48.864,49.344
49.376,49.888
49.376,49.888
49.92,50.368
49.92,50.368
49.92,50.368
49.92,50.368
50.4,50.944
50.4,50.944
50.976,51.488
51.52,52.0
51.52,52.0
52.032,52.224
52.032,52.224
52.032,52.48
52.256,52.48
52.256,52.48
52.512,52.992
52.512,52.992
53.024,53.504
53.024,53.504
53.536,53.76
53.536,53.76
53.792,53.984
53.792,53.984
54.016,54.496
54.016,54.496
54.528,55.008
54.528,55.008
54.528,55.008
55.04,55.552
55.04,56.128
55.584,55.872
55.904,56.128
56.16,56.704
56.16,57.728
56.736,57.216
57.248,57.728
57.76,58.24
57.76,58.24
57.76,58.24
58.272,58.752
58.272,58.752
58.784,59.424
59.456,59.936
59.456,59.936
59.968,60.48
60.512,60.992
60.512,61.504
60.512,61.504
61.024,61.248
61.28,61.504
61.536,62.016
62.048,62.496
62.528,63.008
62.528,63.008
63.04,63.52
63.552,64.0
63.552,64.0
64.032,64.48
64.512,64.736
64.512,64.992
64.768,64.992
65.024,65.248
65.28,65.504
65.536,66.016
66.048,66.24
66.272,66.496
66.528,67.008
67.04,67.52
67.04,67.52
67.552,68.032
67.552,68.032
68.064,68.512
68.544,69.024
68.544,69.024
69.056,69.28
69.312,69.536
69.568,70.016
70.08,70.272
70.304,70.496
70.528,71.008
71.04,71.52
71.04,71.52
71.552,72.0
71.552,72.0
72.032,72.512
72.032,72.512
72.032,72.512
72.544,72.704
72.544,72.96
72.736,72.96
72.96,73.12
73.152,73.376
73.408,73.6
73.632,73.824
73.856,74.08
74.112,74.336
74.368,74.592
74.368,74.752
74.368,74.752
74.624,74.752
74.784,75.008
75.04,75.264
75.296,75.744
75.776,76.256
76.288,76.768
76.8,76.96
76.992,77.216
77.248,77.44
77.472,77.568
77.6,77.824
77.856,78.08
78.112,78.592
78.624,79.104
79.136,79.552
79.136,79.552
79.136,79.552
79.584,80.064
80.096,80.576
80.096,80.576
80.096,80.576
80.608,80.832
80.864,81.088
81.12,81.312
81.344,81.568
81.6,81.792
81.824,82.048
82.08,82.56
82.592,83.072
83.104,83.552
83.104,83.552
83.104,83.552
83.584,84.064
84.096,84.544
84.096,84.544
84.096,84.544
84.576,84.8
84.832,84.992
85.024,85.216
85.248,85.472
85.504,85.728
85.76,85.984
86.016,86.464
86.016,86.464
86.496,86.944
86.976,87.456
86.976,87.456
87.488,87.968
88.0,88.128
88.0,88.352
88.128,88.352
88.384,88.608
88.64,88.832
88.864,89.088
89.12,89.344
89.376,89.568
89.6,89.76
89.792,90.016
90.048,90.24
90.272,90.464
90.496,90.624
90.656,90.88
90.912,91.04
91.072,91.296
91.328,91.488
91.52,91.744
91.776,91.904
91.936,92.16
92.192,92.384
92.416,92.512
92.544,92.768
92.8,93.024
93.056,93.248
93.28,93.504
93.504,93.728
93.76,93.984
94.016,94.08
94.112,94.272
94.304,94.432
94.464,94.688
94.72,94.944
94.976,95.2
95.232,95.456
95.488,95.552
95.584,95.808
95.84,96.064
96.096,96.32
96.352,96.544
96.576,96.736
96.768,96.992
97.024,97.216
97.248,97.312
97.344,97.568
97.6,97.824
97.856,97.952
97.984,98.208
98.24,98.464
98.496,98.72
98.72,98.912
98.944,99.104
99.136,99.232
99.264,99.488
99.52,99.744
99.776,99.968
99.968,100.16
100.192,100.384
100.416,100.608
100.64,100.832
100.864,101.056
101.088,101.248
101.28,101.472
101.504,101.696
101.728,101.92
101.952,102.112
102.144,102.336
102.368,102.592
102.624,102.784
102.816,103.04
103.072,103.2
103.232,103.456
103.488,103.712
103.744,103.968
104.0,104.192
104.224,104.448
104.48,104.704
104.736,105.216
105.248,105.824
105.856,106.304
105.856,106.304
105.856,106.304
106.336,106.56
106.592,106.848
106.88,107.36
107.392,107.616
107.648,107.872
107.904,108.352
108.384,108.608
108.64,108.864
108.896,109.12
109.152,109.376
109.408,109.888
109.92,110.368
109.92,110.368
109.92,110.368
110.4,110.624
110.656,110.88
110.912,111.392
111.424,111.648
111.68,111.904
111.936,112.128
112.16,112.384
112.416,112.608
112.64,112.864
112.864,113.024
113.056,113.28
113.312,113.536
113.568,113.792
113.824,113.984
114.016,114.176
114.208,114.336
114.368,114.592
114.624,114.848
114.88,115.072
115.104,115.232
115.264,115.488
115.52,115.68
115.712,115.936
115.968,116.192
116.224,116.448
116.48,116.672
116.672,116.896
116.928,117.152
117.184,117.408
117.44,117.632
117.664,117.888
117.92,118.144
118.176,118.4
118.432,119.072
119.104,119.392
119.424,119.616
119.648,120.128
119.648,120.128
120.16,120.384
120.416,120.64
120.672,121.152
120.672,121.152
121.184,121.408
121.44,121.632
121.664,122.144
121.664,122.144
122.176,122.4
122.432,122.56
122.592,123.808
123.84,124.064
124.064,124.256
124.288,124.48
124.512,124.736
124.736,124.928
124.96,125.152
125.184,125.376
125.408,125.6
125.632,125.824
125.856,126.08
126.08,126.272
126.304,126.528
126.56,126.784
126.816,127.008
127.04,127.264
127.296,127.776
127.296,127.776
127.296,127.776
127.296,127.776
127.808,128.288
128.32,128.8
128.32,128.8
128.32,128.8
128.32,128.8
128.832,129.312
129.344,129.824
129.344,129.824
129.344,129.824
129.856,130.112
130.144,130.368
130.4,130.88
130.912,131.392
130.912,131.392
130.912,131.392
131.424,131.936
131.424,131.936
131.424,131.936
131.968,132.672
131.968,132.672
132.704,133.184
132.704,133.184
133.216,133.44
133.216,134.144
133.472,134.144
134.176,136.992
134.176,136.992
134.176,136.992
